Facility,Date,Year,Wx,Vol,Eqpt,Rwy,Other,Other,Other,Total
ATL,2023-10-01,2023,0,0,0,0,0,0,2,2
ATL,2023-11-01,2023,0,0,0,0,0,0,0,0
ATL,2023-12-01,2023,1,0,0,0,0,0,2,3
ATL,2024-01-01,2024,5,2,0,0,0,0,10,17
ATL,2024-02-01,2024,0,0,0,0,0,0,1,1
ATL,2024-03-01,2024,5,0,0,0,3,0,4,12
ATL,2024-04-01,2024,4,0,0,0,0,1,0,5
ATL,2024-05-01,2024,7,0,0,0,1,0,2,10
ATL,2024-06-01,2024,11,0,0,1,0,0,4,16
ATL,2024-07-01,2024,6,2,0,3,41,4,5,61
ATL,2024-08-01,2024,35,5,0,3,0,9,3,55
ATL,2024-09-01,2024,6,8,0,0,3,2,4,23
ATL,2024-10-01,2024,0,0,0,0,0,5,1,6
ATL,2024-11-01,2024,0,0,0,0,0,0,1,1
ATL,2024-12-01,2024,3,1,0,4,0,0,1,9
BOS,2015-01-01,2015,23,6,0,0,0,1,15,45
BOS,2015-02-01,2015,28,7,0,0,3,6,7,51
BOS,2015-03-01,2015,21,0,0,7,0,9,0,37
BOS,2015-04-01,2015,19,2,0,3,0,0,0,24
BOS,2015-05-01,2015,25,2,0,1,0,0,2,30
BOS,2015-06-01,2015,35,2,0,0,0,0,0,37
BOS,2015-07-01,2015,19,7,0,1,4,0,0,31
BOS,2015-08-01,2015,17,7,7,1,0,0,2,34
BOS,2015-09-01,2015,14,1,0,0,0,0,3,18
BOS,2015-10-01,2015,11,2,0,1,0,1,0,15
BOS,2015-11-01,2015,11,2,0,0,0,0,0,13
BOS,2015-12-01,2015,9,0,0,0,0,0,0,9
BOS,2016-01-01,2016,7,3,0,0,0,5,0,15
BOS,2016-02-01,2016,40,6,0,2,2,4,1,55
BOS,2016-03-01,2016,3,1,0,0,0,0,0,4
BOS,2016-04-01,2016,10,3,0,0,0,0,1,14
BOS,2016-05-01,2016,2,0,0,0,0,0,0,2
BOS,2016-06-01,2016,17,2,0,0,0,0,2,21
BOS,2016-07-01,2016,68,3,0,0,0,1,3,75
BOS,2016-08-01,2016,32,0,0,0,0,1,0,33
BOS,2016-09-01,2016,8,7,0,4,0,0,0,19
BOS,2016-10-01,2016,3,3,0,8,0,0,0,14
BOS,2016-11-01,2016,3,0,0,0,0,0,0,3
BOS,2016-12-01,2016,3,0,0,2,0,0,1,6
BOS,2017-01-01,2017,14,2,0,1,0,0,2,19
BOS,2017-02-01,2017,17,5,0,0,0,0,2,24
BOS,2017-03-01,2017,14,1,0,1,0,0,3,19
BOS,2017-04-01,2017,19,2,0,0,0,0,1,22
BOS,2017-05-01,2017,58,8,0,21,2,0,0,89
BOS,2017-06-01,2017,44,14,0,46,1,3,0,108
BOS,2017-07-01,2017,55,8,5,1,1,5,4,79
BOS,2017-08-01,2017,50,3,0,0,0,5,2,60
BOS,2017-09-01,2017,15,7,0,1,0,6,6,35
BOS,2017-10-01,2017,31,5,0,6,1,0,6,49
BOS,2017-11-01,2017,3,0,0,0,0,0,0,3
BOS,2017-12-01,2017,6,1,0,0,8,5,1,21
BOS,2018-01-01,2018,36,4,1,0,3,7,12,63
BOS,2018-02-01,2018,18,9,0,1,1,30,14,73
BOS,2018-03-01,2018,6,3,0,0,0,7,10,26
BOS,2018-04-01,2018,53,7,0,1,1,0,1,63
BOS,2018-05-01,2018,27,1,0,1,0,0,1,30
BOS,2018-06-01,2018,39,1,0,1,0,2,3,46
BOS,2018-07-01,2018,114,3,0,0,0,5,5,127
BOS,2018-08-01,2018,217,14,0,0,0,3,7,241
BOS,2018-09-01,2018,40,4,0,4,1,1,2,52
BOS,2018-10-01,2018,35,8,0,0,0,0,3,46
BOS,2018-11-01,2018,10,2,0,0,0,0,0,12
BOS,2018-12-01,2018,5,2,0,1,0,0,1,9
BOS,2019-01-01,2019,100,27,1,0,2,0,6,136
BOS,2019-02-01,2019,14,5,0,1,0,2,2,24
BOS,2019-03-01,2019,17,8,0,0,0,0,1,26
BOS,2019-04-01,2019,43,10,0,4,0,0,3,60
BOS,2019-05-01,2019,22,2,0,0,0,0,4,28
BOS,2019-06-01,2019,36,9,0,4,4,2,4,59
BOS,2019-07-01,2019,95,6,0,0,2,2,3,108
BOS,2019-08-01,2019,72,10,0,0,0,6,4,92
BOS,2019-09-01,2019,6,0,0,0,0,0,0,6
BOS,2019-10-01,2019,11,4,0,5,0,1,0,21
BOS,2019-11-01,2019,3,1,0,0,0,0,0,4
BOS,2019-12-01,2019,57,12,0,0,3,4,1,77
BOS,2020-01-01,2020,4,0,0,0,0,0,0,4
BOS,2020-02-01,2020,1,1,0,0,0,1,1,4
BOS,2020-03-01,2020,1,2,0,0,15,1,0,19
BOS,2020-04-01,2020,0,0,0,0,0,0,0,0
BOS,2020-05-01,2020,0,0,0,0,0,0,0,0
BOS,2020-06-01,2020,0,0,0,0,0,0,0,0
BOS,2020-07-01,2020,0,0,0,0,1,0,0,1
BOS,2020-08-01,2020,0,0,0,0,0,0,0,0
BOS,2020-09-01,2020,0,0,0,0,0,0,0,0
BOS,2020-10-01,2020,0,0,0,0,0,0,0,0
BOS,2020-11-01,2020,0,0,0,0,0,0,1,1
BOS,2020-12-01,2020,1,0,0,0,0,0,0,1
BOS,2021-01-01,2021,1,1,0,0,0,1,0,3
BOS,2021-02-01,2021,0,0,0,0,0,0,1,1
BOS,2021-03-01,2021,0,0,0,0,0,0,0,0
BOS,2021-04-01,2021,1,0,0,0,1,1,0,3
BOS,2021-05-01,2021,0,0,0,0,0,0,0,0
BOS,2021-06-01,2021,6,0,0,0,0,0,6,12
BOS,2021-07-01,2021,5,0,0,0,0,1,7,13
BOS,2021-08-01,2021,2,0,0,1,1,0,2,6
