Year,Loc,Tot.Delays,Tot.Avg.Min,Tot.Tot.Min,Weather.Delays,Weather.Avg.Min,Weather.Tot.Min,Vol.Delays,Vol.Avg.Min,Vol.Tot.Min,Equip.Delays,Equip.Avg.Min,Equip.Tot.Min,Runway.Delays,Runway.Avg.Min,Runway.Tot.Min,Other.Delays,Other.Avg.Min,Other.Tot.Min
2023,MEM,415,33,13799,249,36,9002,163,28,4620,3,59,177,0,0,0,0,0,0
2023,MIA,6977,28,197382,2582,38,99132,4163,21,87942,36,46,1642,181,46,8317,15,23,349
2023,MSP,263,56,14712,212,59,12518,12,25,294,27,57,1529,5,31,156,7,31,215
2023,ORD,8321,46,385500,4284,69,293880,3214,20,64774,72,52,3742,380,23,8893,371,38,14211
2023,PHL,1503,44,66674,1090,51,55993,207,19,3834,62,64,3949,48,19,929,96,21,1969
2023,PHX,2593,34,87239,962,54,51607,1390,21,29037,34,53,1790,174,23,4081,33,22,724
2023,SAN,2208,25,54399,289,35,10053,1697,22,38146,6,49,295,168,28,4756,48,24,1149
2023,SEA,3349,22,74399,2120,24,50325,1108,19,20688,29,50,1453,13,24,313,79,21,1620
2023,SFO,13597,42,571531,9934,48,479045,1058,25,26819,70,52,3621,2228,24,52407,307,31,9639
2023,SLC,231,36,8355,112,46,5141,90,21,1851,26,51,1314,3,16,49,0,0,0
2023,TPA,570,39,22387,356,44,15490,141,31,4378,23,51,1169,40,28,1111,10,24,239
Sub-Total for 2023,,147804,47,6898543,84836,60,5061756,34938,24,831939,1722,55,94887,23107,35,797491,3201,35,112470
2024,ATL,4743,60,282966,2556,44,112528,352,24,8470,86,34,2933,831,44,36757,918,133,122278
2024,BOS,9967,62,618027,9338,63,587157,314,57,17889,2,68,136,266,43,11411,47,31,1434
2024,BWI,382,56,21479,302,63,19091,34,23,768,20,51,1022,19,24,449,7,21,149
2024,CLT,4021,39,157355,1357,59,80323,2041,22,44159,20,18,351,143,23,3253,460,64,29269
2024,DCA,4198,42,174989,2330,56,130986,1413,22,30544,81,40,3253,123,24,2916,251,29,7290
2024,DEN,5886,57,334693,4980,62,309961,652,24,15929,0,0,0,244,35,8502,10,30,301
2024,DFW,12159,53,645319,6686,71,477219,2010,21,42071,0,0,0,2546,24,60872,917,71,65157
2024,DTW,528,42,21978,304,47,14163,144,23,3250,0,0,0,24,18,435,56,74,4130
2024,EWR,13079,74,968904,7037,81,568927,1271,40,50259,263,97,25633,324,38,12392,4184,74,311693
2024,FLL,1168,44,51517,475,75,35737,430,23,9798,1,18,18,254,22,5660,8,38,304
2024,HNL,451,34,15179,42,46,1913,256,34,8624,0,0,0,132,28,3691,21,45,951
2024,IAD,759,60,45894,598,70,42022,140,23,3245,0,0,0,15,34,507,6,20,120
2024,IAH,2704,73,198507,2119,84,179000,324,23,7447,0,0,0,162,29,4671,99,75,7389
2024,JFK,8515,54,461603,6405,63,404015,1439,24,34800,30,18,540,269,23,6300,372,43,15948
2024,LAS,20993,42,891430,11326,53,595336,6924,26,176793,180,29,5198,1495,34,51097,1068,59,63006
2024,LAX,3970,24,95686,563,31,17484,2115,23,49583,0,0,0,1082,21,22966,210,27,5653
2024,LGA,10619,60,642297,8182,69,564704,1751,22,39263,173,62,10788,252,23,5846,261,83,21696
2024,MCO,1370,72,99093,1178,77,91027,67,31,2053,87,61,5322,23,17,396,15,20,295
2024,MDW,360,48,17362,247,61,15089,91,20,1844,0,0,0,10,18,176,12,21,253
2024,MEM,95,39,3708,89,39,3478,5,39,197,0,0,0,0,0,0,1,33,33
2024,MIA,6654,31,208580,1696,57,96387,4782,21,100286,82,115,9459,57,20,1118,37,36,1330
2024,MSP,3932,46,178911,766,45,34171,107,26,2767,1,32,32,2932,45,131264,126,85,10677
2024,ORD,12788,45,570936,6091,68,414046,5136,20,103698,155,26,3963,246,23,5716,1160,38,43513
2024,PHL,11495,41,474174,2319,51,118270,2854,31,89609,1083,56,60372,537,30,15945,4702,40,189978
2024,PHX,3213,25,80744,1213,33,40559,1647,19,31876,6,16,95,218,19,4183,129,31,4031
2024,SAN,8415,37,307154,2599,62,160762,5448,25,135062,85,42,3564,224,30,6625,59,19,1141
2024,SEA,4673,25,118032,2301,26,60140,1706,21,35282,273,46,12657,80,20,1617,313,27,8336
2024,SFO,29780,53,1568652,6281,62,391455,1096,25,27025,30,37,1096,22038,51,1131819,335,52,17257
2024,SLC,190,43,8239,61,57,3464,74,22,1608,0,0,0,13,23,303,42,68,2864
2024,TPA,909,69,62628,472,74,34732,182,47,8523,37,65,2391,0,0,0,218,78,16982
Sub-Total for 2024,,188016,50,9326036,89913,62,5604146,44805,24,1082722,2695,55,148823,34559,44,1536887,16044,59,953458
Total :,,1867036,53,98755861,1174088,65,76896047,409555,23,9510222,11400,49,563234,206893,43,8896732,65100,44,2889626
More information about this report.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Report created on Tue Feb 3 17:15:44 EST 2026,,,,,,,,,,,,,,,,,,,
Sources: The Operations Network (OPSNET),,,,,,,,,,,,,,,,,,,
Show data notices.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
