Year,Loc,Tot.Delays,Tot.Avg.Min,Tot.Tot.Min,Weather.Delays,Weather.Avg.Min,Weather.Tot.Min,Vol.Delays,Vol.Avg.Min,Vol.Tot.Min,Equip.Delays,Equip.Avg.Min,Equip.Tot.Min,Runway.Delays,Runway.Avg.Min,Runway.Tot.Min,Other.Delays,Other.Avg.Min,Other.Tot.Min
2016,TPA,82,41,3340,82,41,3340,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Total for 2016,,218042,53,11596197,146339,65,9526447,48629,23,1135647,480,36,17121,17886,43,762793,4708,33,154189
2017,ATL,6137,48,291864,4532,54,246884,1141,23,26787,6,18,109,153,20,3083,305,49,15001
2017,BOS,15405,65,1008641,10353,60,617568,117,22,2588,0,0,0,4872,79,386949,63,24,1536
2017,BWI,362,55,20013,215,70,15002,104,20,2115,24,96,2309,0,0,0,19,31,587
2017,CLT,4703,32,152731,1833,49,89194,2598,21,55731,0,0,0,169,27,4552,103,32,3254
2017,DCA,5622,34,191500,1942,59,114385,3369,20,67737,25,62,1553,67,31,2080,219,26,5745
2017,DEN,3069,65,200044,2908,68,196633,87,23,1977,0,0,0,74,19,1434,0,0,0
2017,DFW,7364,43,319310,3796,66,251765,3058,19,57126,0,0,0,370,20,7501,140,21,2918
2017,DTW,1646,53,86937,1436,57,81746,71,21,1522,25,50,1245,52,18,946,62,24,1478
2017,EWR,46315,70,3248636,39454,76,3015773,4552,24,111047,8,34,268,442,42,18635,1859,55,102913
2017,FLL,719,32,22745,390,39,15314,160,22,3593,6,27,161,65,17,1102,98,26,2575
2017,HNL,69,29,1994,38,35,1314,16,24,381,0,0,0,0,0,0,15,20,299
2017,IAD,974,49,47584,600,62,37174,283,22,6220,21,108,2275,4,32,126,66,27,1789
2017,IAH,3495,48,166479,2961,51,152295,399,27,10887,0,0,0,91,24,2221,44,24,1076
2017,JFK,23635,68,1597670,9682,85,819898,3981,28,109942,2,25,50,9214,68,625876,756,55,41904
2017,LAS,5784,49,283301,3883,62,240093,1434,23,32872,12,26,316,222,22,4776,233,23,5244
2017,LAX,33736,41,1381167,5777,53,307309,8594,23,196635,591,46,26944,14320,44,629331,4454,50,220948
2017,LGA,42736,55,2332469,28267,69,1948571,13362,25,339327,0,0,0,835,44,36439,272,30,8132
2017,MCO,176,46,8036,107,46,4888,31,24,740,0,0,0,1,16,16,37,65,2392
2017,MDW,389,66,25578,307,68,20765,37,22,806,0,0,0,0,0,0,45,89,4007
2017,MEM,1083,47,50494,992,47,46941,83,41,3367,0,0,0,0,0,0,8,23,186
2017,MIA,2197,25,54189,522,38,19589,1546,20,31363,0,0,0,29,18,527,100,27,2710
2017,MSP,1628,40,64793,1217,45,54844,331,25,8331,0,0,0,4,18,72,76,20,1546
2017,ORD,13842,70,968204,11566,79,908101,1404,21,29272,0,0,0,146,20,2964,726,38,27867
2017,PHL,12598,49,613900,7993,64,510313,3988,22,88278,1,16,16,168,21,3541,448,26,11752
2017,PHX,3603,20,71725,347,33,11310,2931,18,52891,0,0,0,160,22,3598,165,24,3926
2017,SAN,814,35,28538,305,57,17347,420,21,8902,10,33,333,52,25,1316,27,24,640
2017,SEA,11090,39,434366,8379,44,370824,2375,21,50398,178,55,9831,49,23,1148,109,20,2165
2017,SFO,34069,71,2406573,24841,74,1834812,1917,27,51868,0,0,0,6438,76,491371,873,33,28522
2017,SLC,138,26,3552,52,32,1662,60,21,1270,0,0,0,18,26,470,8,19,150
2017,TPA,30,44,1308,24,50,1193,4,19,76,0,0,0,0,0,0,2,20,39
Sub-Total for 2017,,283428,57,16084341,174719,68,11953507,58453,23,1354049,909,50,45410,38015,59,2230074,11332,44,501301
2018,ATL,8452,58,489429,5173,73,377348,1649,22,37040,128,28,3604,1138,44,49668,364,60,21769
2018,BOS,12413,61,755105,12128,62,748636,123,23,2811,5,19,95,74,25,1824,83,21,1739
2018,BWI,949,65,61257,828,71,58508,89,20,1778,0,0,0,25,32,812,7,23,159
2018,CLT,5205,29,152239,2202,41,89696,2767,21,57377,0,0,0,121,24,2900,115,20,2266
2018,DCA,5300,45,239068,3152,62,195232,1815,20,35908,0,0,0,12,28,332,321,24,7596
2018,DEN,3016,56,170316,2852,58,166033,100,29,2906,0,0,0,62,21,1328,2,25,49
2018,DFW,10644,54,577832,6889,72,499115,2444,20,48539,42,17,716,1034,23,23940,235,23,5522
2018,DTW,1404,62,86794,1198,69,82670,124,22,2666,5,22,110,28,16,460,49,18,888
2018,EWR,44050,69,3050874,38115,76,2899079,5391,25,133683,220,49,10886,92,20,1828,232,23,5398
2018,FLL,741,28,21006,385,35,13432,114,19,2220,0,0,0,160,23,3692,82,20,1662
2018,HNL,43,24,1021,6,25,151,6,22,131,0,0,0,6,25,149,25,24,590
2018,IAD,1007,50,49860,614,67,41219,361,22,7900,0,0,0,6,25,151,26,23,590
2018,IAH,5084,41,206475,3614,43,154463,521,29,14977,0,0,0,844,40,33616,105,33,3419
2018,JFK,16487,56,924883,10686,72,774731,4746,22,106585,289,49,14117,224,26,5778,542,44,23672
2018,LAS,3884,37,145511,1847,54,99725,1683,23,38118,4,17,68,253,23,5699,97,20,1901
2018,LAX,15948,27,425910,2586,48,123987,8160,23,187445,0,0,0,4893,22,106143,309,27,8335
2018,LGA,36078,56,2007044,25851,68,1758874,8892,23,206726,2,17,34,1107,30,33516,226,35,7894
2018,MCO,247,58,14445,218,64,13849,29,21,596,0,0,0,0,0,0,0,0,0
2018,MDW,266,48,12677,238,50,11941,28,26,736,0,0,0,0,0,0,0,0,0
2018,MEM,701,49,34300,651,49,32096,47,45,2111,0,0,0,0,0,0,3,31,93
2018,MIA,2461,22,54849,604,29,17796,1787,20,35213,0,0,0,35,30,1035,35,23,805
2018,MSP,1784,72,128929,1473,81,119333,215,31,6631,18,46,831,24,36,858,54,24,1276
2018,ORD,25262,69,1748813,19727,82,1616047,3995,21,82056,295,40,11766,854,36,30948,391,20,7996
2018,PHL,14011,53,741156,10009,65,653555,3244,21,69208,19,31,583,417,20,8442,322,29,9368
2018,PHX,9236,39,359871,788,38,29957,1041,20,20378,13,17,223,7234,42,305815,160,22,3498
2018,SAN,850,27,22793,208,46,9650,601,20,12284,4,18,72,23,22,516,14,19,271
2018,SEA,17010,39,667612,9510,45,426905,2654,22,57062,0,0,0,4578,39,177915,268,21,5730
2018,SFO,32145,58,1875905,27037,64,1718694,3529,22,78894,0,0,0,947,64,60420,632,28,17897
2018,SLC,271,28,7526,96,35,3320,151,23,3427,0,0,0,13,35,455,11,29,324
2018,TPA,105,41,4266,77,45,3481,27,24,652,0,0,0,0,0,0,1,133,133
Sub-Total for 2018,,275054,55,15037766,188762,67,12739523,56333,22,1256058,1044,41,43105,24204,35,858240,4711,30,140840
2019,ATL,7177,40,284545,4108,47,194860,1341,23,31123,0,0,0,1372,30,41498,356,48,17064
2019,BOS,15043,72,1086095,14693,73,1072104,98,29,2828,66,33,2183,172,50,8624,14,25,356
2019,BWI,537,69,36840,437,80,34903,43,20,847,0,0,0,48,19,916,9,19,174
2019,CLT,5826,40,230868,2393,67,160266,3157,20,64287,0,0,0,122,22,2721,154,23,3594
2019,DCA,5299,44,234981,2924,61,179779,1855,20,36677,0,0,0,54,28,1529,466,36,16996
2019,DEN,8070,64,519680,7547,67,504010,309,23,7213,0,0,0,208,40,8230,6,38,227
2019,DFW,14911,52,768534,9439,69,653735,4629,19,88684,42,46,1919,309,24,7280,492,34,16916
2019,DTW,1657,58,96881,1252,70,88170,223,21,4649,8,19,154,66,19,1253,108,25,2655
2019,EWR,46985,70,3267306,37553,79,2965942,7149,25,177084,7,30,210,1693,55,93124,583,53,30946
2019,FLL,4580,28,129393,1138,37,42017,700,22,15327,0,0,0,2658,26,70173,84,22,1876
2019,HNL,3,40,119,0,0,0,1,15,15,0,0,0,1,88,88,1,16,16
2019,IAD,1281,65,83291,972,79,76454,255,22,5518,0,0,0,27,28,751,27,21,568
2019,IAH,7473,49,366585,5002,56,281275,872,29,25166,22,19,419,1515,38,58144,62,26,1581
2019,JFK,12951,58,747286,7736,73,564367,2610,22,56726,8,15,120,2454,50,121622,143,31,4451
2019,LAS,8434,39,326474,3431,63,216181,4395,22,97769,21,21,450,243,19,4640,344,22,7434
2019,LAX,10605,27,283039,2364,40,94405,6534,22,146883,25,18,450,1306,23,29529,376,31,11772
2019,LGA,44273,58,2552538,27220,72,1968953,9415,24,224711,13,37,484,6963,46,321782,662,55,36608
2019,MCO,873,63,55297,779,66,51675,57,23,1292,0,0,0,0,0,0,37,63,2330
2019,MDW,489,62,30514,462,65,29996,27,19,518,0,0,0,0,0,0,0,0,0
2019,MEM,685,54,36957,647,55,35603,38,36,1354,0,0,0,0,0,0,0,0,0
2019,MIA,3233,24,78694,1045,33,34866,2023,20,40104,0,0,0,88,24,2100,77,21,1624
2019,MSP,2178,92,200763,1960,100,195223,158,27,4235,0,0,0,9,20,180,51,22,1125
2019,ORD,36069,74,2679861,28581,86,2455377,5193,22,114059,1712,57,96909,376,22,8156,207,26,5360
2019,PHL,9900,60,593285,8127,68,553477,1273,20,25545,81,41,3359,260,27,6982,159,25,3922
2019,PHX,2607,30,77819,1378,37,51275,987,21,20348,0,0,0,160,25,4016,82,27,2180
2019,SAN,1343,24,32814,268,34,9100,906,21,19187,0,0,0,78,28,2204,91,26,2323
2019,SEA,14807,32,476920,10458,36,375062,3774,22,83826,189,38,7142,167,30,5051,219,27,5839
2019,SFO,32109,65,2093287,25392,66,1673025,2708,22,58759,26,65,1683,3758,94,352999,225,30,6821
2019,SLC,454,27,12422,132,41,5389,313,22,6752,0,0,0,9,31,281,0,0,0
2019,TPA,128,64,8200,110,71,7767,15,24,361,0,0,0,2,28,55,1,17,17
Sub-Total for 2019,,299980,58,17391288,207548,70,14575256,61058,22,1361847,2220,52,115482,24118,48,1153928,5036,37,184775
2020,ATL,2006,51,101370,1567,57,89787,266,24,6251,28,27,755,84,19,1561,61,49,3016
2020,BOS,783,51,39847,765,51,39273,18,32,574,0,0,0,0,0,0,0,0,0
2020,BWI,94,34,3215,74,38,2786,13,21,273,4,24,96,1,19,19,2,21,41
2020,CLT,3638,25,91794,963,38,36752,2404,20,48060,23,25,575,146,20,2894,102,34,3513
2020,DCA,871,46,40314,460,69,31729,361,19,6796,13,25,331,2,22,44,35,40,1414
2020,DEN,2042,37,75571,832,38,31638,204,24,4797,0,0,0,23,21,484,983,39,38652
2020,DFW,10690,38,410837,4451,55,246555,1439,23,33460,358,52,18514,4123,23,93755,319,58,18553
2020,DTW,196,38,7510,179,40,7133,17,22,377,0,0,0,0,0,0,0,0,0
2020,EWR,7620,53,403444,5852,62,360059,1489,24,35524,0,0,0,268,28,7634,11,21,227
2020,FLL,329,25,8076,93,33,3047,213,21,4508,0,0,0,13,22,285,10,24,236
2020,HNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,IAD,177,34,6015,72,50,3620,89,24,2105,10,19,189,5,17,86,1,15,15
2020,IAH,530,31,16609,343,34,11649,147,28,4121,0,0,0,34,20,681,6,26,158
2020,JFK,800,43,34619,572,51,29021,170,22,3697,0,0,0,22,19,408,36,41,1493
2020,LAS,2106,57,120933,712,75,53481,757,20,14879,0,0,0,73,19,1362,564,91,51211
2020,LAX,1416,26,36348,230,40,9100,796,21,16445,44,53,2343,208,22,4551,138,28,3909
2020,LGA,4949,50,247547,3681,59,216281,1121,25,27805,0,0,0,0,0,0,147,24,3461
2020,MCO,81,60,4843,59,75,4401,8,20,158,2,35,69,9,17,157,3,19,58
2020,MDW,65,48,3133,36,51,1848,4,24,94,0,0,0,0,0,0,25,48,1191
2020,MEM,376,40,14948,349,41,14322,20,22,449,0,0,0,0,0,0,7,25,177
2020,MIA,931,22,20763,247,28,6888,594,20,11776,0,0,0,10,17,173,80,24,1926
2020,MSP,353,53,18760,274,63,17155,72,20,1444,0,0,0,0,0,0,7,23,161
2020,ORD,5659,57,320997,4671,64,299618,967,22,20952,0,0,0,18,20,352,3,25,75
2020,PHL,1318,48,63762,1076,54,58467,193,19,3746,0,0,0,12,23,277,37,34,1272
2020,PHX,1408,26,36849,608,32,19678,737,20,14982,18,66,1186,8,17,132,37,24,871
2020,SAN,279,27,7593,137,35,4727,103,20,2053,1,26,26,33,21,689,5,20,98
2020,SEA,2478,33,82227,1632,37,60882,592,22,13187,0,0,0,49,25,1224,205,34,6934
2020,SFO,4043,50,204153,3568,54,194048,427,21,8986,5,29,143,9,27,243,34,22,733
2020,SLC,495,88,43361,69,57,3905,88,22,1912,0,0,0,18,17,306,320,116,37238
2020,TPA,174,42,7284,133,47,6299,41,24,985,0,0,0,0,0,0,0,0,0
Sub-Total for 2020,,55907,44,2472722,33705,55,1864149,13350,22,290396,506,48,24227,5168,23,117317,3178,56,176633
2021,ATL,1988,39,77564,1544,42,65047,234,22,5040,0,0,0,54,21,1110,156,41,6367
2021,BOS,361,54,19376,349,55,19076,8,24,190,0,0,0,3,25,74,1,36,36
2021,BWI,267,58,15407,228,63,14307,12,21,256,22,33,734,0,0,0,5,22,110
2021,CLT,4544,37,166117,1867,57,106796,2167,20,43233,3,17,51,161,20,3255,346,37,12782
2021,DCA,760,41,31426,261,68,17862,359,19,6831,0,0,0,48,86,4125,92,28,2608
2021,DEN,7739,56,435441,5290,64,339522,611,22,13706,0,0,0,754,42,31763,1084,47,50450
2021,DFW,16003,58,928144,9320,78,724462,2158,24,51808,13,34,439,3863,35,133347,649,28,18088
2021,DTW,426,45,19179,374,48,18055,21,22,463,11,18,198,1,16,16,19,24,447
2021,EWR,4993,51,254431,2145,67,143411,682,35,23992,0,0,0,2111,40,85274,55,32,1754
2021,FLL,875,27,23870,304,37,11149,475,22,10571,0,0,0,18,21,378,78,23,1772
2021,HNL,4,41,163,0,0,0,1,29,29,0,0,0,3,45,134,0,0,0
2021,IAD,1081,56,60288,860,63,54156,164,24,3895,1,33,33,14,33,463,42,41,1741
